"k","WSS","min_centroid_dist","mean_centroid_dist","min_cluster_size","WSS_drop","WSS_drop_pct"
2,1649.43998247163,3.82742678524278,3.82742678524278,87,NA,NA
3,1270.74911531181,3.58627919198102,4.18766346215254,51,378.69086715982,22.9587539518937
4,1168.61433609284,2.70498951752985,3.9105032546604,28,102.134779218967,8.03736772178713
5,1095.15294872194,2.54786438211206,3.80119444708328,22,73.4613873709018,6.2861959760406
6,1032.7952006156,2.53461323963382,4.19420621853022,4,62.3577481063353,5.69397618653246
7,975.915438495401,2.3012869926875,4.1252404513842,7,56.8797621202029,5.50736119671155
8,919.86143819012,2.40200987793334,4.23398041575868,4,56.054000305281,5.74373537851816
9,875.830214375174,2.17517629311838,4.39229781507663,4,44.0312238149462,4.78672352018367
10,834.667487711911,1.78909717403865,4.55644820080144,3,41.162726663263,4.69985232156314
11,797.806286902276,1.83474769794537,4.65066207884639,3,36.8612008096342,4.41627370807056
12,767.79006074057,1.78909717403865,4.58097850238543,3,30.0162261617069,3.76234515251239
13,744.027224479062,1.78909717403865,4.51461032173359,3,23.762836261508,3.09496533969034
14,716.431062732679,1.91626406230033,4.54772118477517,3,27.5961617463821,3.70902580422428
15,694.673151527315,1.87312152631883,4.67368230080299,2,21.7579112053647,3.03698601821837
