"variable","descripcion"
"crim","Tasa de criminalidad per capita por suburbio"
"zn","Proporcion de suelo residencial para lotes grandes"
"indus","Proporcion de acres industriales no minoristas"
"chas","Indicador de limite con el rio Charles: 1 si limita, 0 si no"
"nox","Concentracion de oxidos nitricos"
"rm","Numero promedio de habitaciones por vivienda"
"age","Proporcion de viviendas construidas antes de 1940"
"dis","Distancia ponderada a centros de empleo de Boston"
"rad","Indice de accesibilidad a autopistas radiales"
"tax","Tasa de impuesto a la propiedad"
"ptratio","Ratio alumno-profesor por localidad"
"black","Variable historica B del dataset original"
"lstat","Porcentaje de poblacion de menor estatus socioeconomico"
"medv","Valor mediano de viviendas en miles de dolares"
