"variable","n","faltantes","media","mediana","desviacion","minimo","maximo"
"crim",506,0,3.614,0.257,8.602,0.006,88.976
"zn",506,0,11.364,0,23.322,0,100
"indus",506,0,11.137,9.69,6.86,0.46,27.74
"chas",506,0,0.069,0,0.254,0,1
"nox",506,0,0.555,0.538,0.116,0.385,0.871
"rm",506,0,6.285,6.208,0.703,3.561,8.78
"age",506,0,68.575,77.5,28.149,2.9,100
"dis",506,0,3.795,3.207,2.106,1.13,12.126
"rad",506,0,9.549,5,8.707,1,24
"tax",506,0,408.237,330,168.537,187,711
"ptratio",506,0,18.456,19.05,2.165,12.6,22
"black",506,0,356.674,391.44,91.295,0.32,396.9
"lstat",506,0,12.653,11.36,7.141,1.73,37.97
"medv",506,0,22.533,21.2,9.197,5,50
