"","crim","zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","black","lstat","medv"
"crim",1,-0.2005,0.4066,-0.0559,0.421,-0.2192,0.3527,-0.3797,0.6255,0.5828,0.2899,-0.3851,0.4556,-0.3883
"zn",-0.2005,1,-0.5338,-0.0427,-0.5166,0.312,-0.5695,0.6644,-0.3119,-0.3146,-0.3917,0.1755,-0.413,0.3604
"indus",0.4066,-0.5338,1,0.0629,0.7637,-0.3917,0.6448,-0.708,0.5951,0.7208,0.3832,-0.357,0.6038,-0.4837
"chas",-0.0559,-0.0427,0.0629,1,0.0912,0.0913,0.0865,-0.0992,-0.0074,-0.0356,-0.1215,0.0488,-0.0539,0.1753
"nox",0.421,-0.5166,0.7637,0.0912,1,-0.3022,0.7315,-0.7692,0.6114,0.668,0.1889,-0.3801,0.5909,-0.4273
"rm",-0.2192,0.312,-0.3917,0.0913,-0.3022,1,-0.2403,0.2052,-0.2098,-0.292,-0.3555,0.1281,-0.6138,0.6954
"age",0.3527,-0.5695,0.6448,0.0865,0.7315,-0.2403,1,-0.7479,0.456,0.5065,0.2615,-0.2735,0.6023,-0.377
"dis",-0.3797,0.6644,-0.708,-0.0992,-0.7692,0.2052,-0.7479,1,-0.4946,-0.5344,-0.2325,0.2915,-0.497,0.2499
"rad",0.6255,-0.3119,0.5951,-0.0074,0.6114,-0.2098,0.456,-0.4946,1,0.9102,0.4647,-0.4444,0.4887,-0.3816
"tax",0.5828,-0.3146,0.7208,-0.0356,0.668,-0.292,0.5065,-0.5344,0.9102,1,0.4609,-0.4418,0.544,-0.4685
"ptratio",0.2899,-0.3917,0.3832,-0.1215,0.1889,-0.3555,0.2615,-0.2325,0.4647,0.4609,1,-0.1774,0.374,-0.5078
"black",-0.3851,0.1755,-0.357,0.0488,-0.3801,0.1281,-0.2735,0.2915,-0.4444,-0.4418,-0.1774,1,-0.3661,0.3335
"lstat",0.4556,-0.413,0.6038,-0.0539,0.5909,-0.6138,0.6023,-0.497,0.4887,0.544,0.374,-0.3661,1,-0.7377
"medv",-0.3883,0.3604,-0.4837,0.1753,-0.4273,0.6954,-0.377,0.2499,-0.3816,-0.4685,-0.5078,0.3335,-0.7377,1
