"id_suburbio","medv","rm","lstat","crim","chas"
399,5,5.453,30.59,38.3518,"No limita con río Charles"
406,5,5.683,22.98,67.9208,"No limita con río Charles"
401,5.6,5.987,26.77,25.0461,"No limita con río Charles"
400,6.3,5.852,29.97,9.91655,"No limita con río Charles"
415,7,4.519,36.98,45.7461,"No limita con río Charles"
490,7,5.414,23.97,0.18337,"No limita con río Charles"
386,7.2,5.277,30.81,16.8118,"No limita con río Charles"
402,7.2,6.343,20.32,14.2362,"No limita con río Charles"
416,7.2,6.434,29.05,18.0846,"No limita con río Charles"
388,7.4,5,31.99,22.5971,"No limita con río Charles"
