"variable","PC1","PC2","abs_PC1","abs_PC2","importancia_PC1_PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"crim",0.2423,-0.0659,0.2423,0.0659,0.2511,0.3951,0.1004,-0.005,0.2246,-0.7771,0.1574,-0.2542,-0.0714,-0.0711,-0.0633,-0.097,0.0591
"zn",-0.2454,-0.148,0.2454,0.148,0.2866,0.3945,0.343,-0.1145,0.3357,0.2742,-0.3803,-0.3829,0.2456,-0.1277,0.2211,0.1324,-0.0963
"indus",0.3319,0.1271,0.3319,0.1271,0.3554,-0.0661,-0.0096,0.0226,0.0808,0.3403,0.1717,-0.627,-0.2548,0.2738,-0.3484,-0.0837,-0.2355
"chas",-0.005,0.4107,0.005,0.4107,0.4107,-0.1253,0.7004,0.5352,-0.1626,-0.0741,-0.0329,0.0186,-0.0417,-0.01,0.019,0.0499,0.0235
"nox",0.3252,0.2543,0.3252,0.2543,0.4128,-0.0465,0.0537,-0.1946,0.149,0.1981,0.0475,0.043,-0.2116,-0.4375,0.4491,-0.525,0.0876
"rm",-0.2028,0.434,0.2028,0.434,0.4791,0.3534,-0.2934,0.0083,-0.1311,-0.0741,-0.4376,0.0037,-0.5261,0.224,0.1256,0.0499,0.0072
"age",0.297,0.2603,0.297,0.2603,0.3949,-0.2008,-0.0784,-0.1498,0.0609,-0.1186,-0.5881,0.0433,0.2456,-0.3296,-0.4863,0.0515,-0.0382
"dis",-0.2982,-0.3591,0.2982,0.3591,0.4668,0.1571,0.1847,0.1062,-0.0116,0.1044,-0.1282,0.1758,-0.2994,-0.1146,-0.4936,-0.5523,0.0471
"rad",0.3034,0.0311,0.3034,0.0311,0.305,0.4185,-0.0514,0.2304,0.1349,0.1371,0.0746,0.4634,0.1158,0.0422,-0.0186,0.0063,-0.635
"tax",0.324,0.0089,0.324,0.0089,0.3242,0.3432,-0.0268,0.1634,0.1885,0.314,0.071,0.1794,-0.0084,0.0428,-0.1704,0.243,0.6988
"ptratio",0.2077,-0.3146,0.2077,0.3146,0.377,4e-04,-0.342,0.6157,-0.279,-0.0015,-0.2835,-0.2745,0.1605,-0.1,0.2321,-0.1883,0.0557
"black",-0.1966,0.0265,0.1966,0.0265,0.1984,-0.3614,-0.2017,0.3675,0.7859,-0.0748,-0.0444,0.061,-0.1463,0.0392,0.0415,0.0211,-0.0162
"lstat",0.3114,-0.2012,0.3114,0.2012,0.3708,-0.1611,0.2426,-0.1784,0.092,-0.0832,-0.3575,0.1718,0.0666,0.683,0.1819,-0.2495,0.0831
"medv",-0.2666,0.4449,0.2666,0.4449,0.5187,0.1632,-0.1803,0.0507,0.054,0.01,0.1523,-0.0708,0.5755,0.242,-0.0983,-0.4696,0.1341
