variable,categoria,proporcion_target_0,proporcion_target_1
sex,0,0.25,0.75
sex,1,0.5534,0.4466
cp,0,0.7273,0.2727
cp,1,0.18,0.82
cp,2,0.2093,0.7907
cp,3,0.3043,0.6957
fbs,0,0.4514,0.5486
fbs,1,0.4889,0.5111
restecg,0,0.5374,0.4626
restecg,1,0.3709,0.6291
restecg,2,0.75,0.25
exang,0,0.3054,0.6946
exang,1,0.7677,0.2323
slope,0,0.5714,0.4286
slope,1,0.65,0.35
slope,2,0.2482,0.7518
ca,0,0.2571,0.7429
ca,1,0.6769,0.3231
ca,2,0.8158,0.1842
ca,3,0.85,0.15
ca,4,0.25,0.75
thal,0,0.5,0.5
thal,1,0.6667,0.3333
thal,2,0.2182,0.7818
thal,3,0.7607,0.2393
