variable,importancia,coeficiente,descripcion
exang,0.4356,-0.4356,Angina inducida por ejercicio
cp,0.4321,0.4321,Tipo de dolor toracico
oldpeak,0.4291,-0.4291,Depresion ST inducida por ejercicio
thalach,0.42,0.42,Frecuencia cardiaca maxima alcanzada
ca,0.409,-0.409,Numero de vasos principales coloreados
slope,0.3439,0.3439,Pendiente del segmento ST
thal,0.3431,-0.3431,Resultado de prueba thal
sex,0.2836,-0.2836,"Sexo biologico codificado: 1 hombre, 0 mujer"
age,0.2215,-0.2215,Edad del paciente
trestbps,0.1463,-0.1463,Presion arterial en reposo
restecg,0.1349,0.1349,Resultado electrocardiografico en reposo
chol,0.0814,-0.0814,Colesterol serico
fbs,0.0268,-0.0268,Glucosa en ayunas mayor a 120 mg/dl
